bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
25-30,T,Y55-64,TOTAL,40.6,49.1,47.4,42.2,37.5,47.9,45.1,40.2,46.6,44.1,43.8,40.9,44.4,43.6,52.7,43,45.8,42.2
25-30,T,Y55-64,UNK,41.8,47.6,50.9,43.4,43.4,49.5,44.1,40.2,47.7,:,38.9,35.3,:,43.8,43.2,42,56.2,:
25-30,T,Y65-74,QU1,45.9,47.8,40.8,40.4,40.4,42.4,45.6,:,44.1,:,42.6,37.3,49.2,41.9,50.1,49.5,38.9,34.9
25-30,T,Y65-74,QU2,36.2,49.5,43.9,47.2,46.3,47.6,49.4,:,44.9,45.4,46.1,49.3,45.1,43.6,50.3,44.8,49.2,49.0
25-30,T,Y65-74,QU3,44.3,44.5,48.2,44.4,40.4,47.5,49.7,:,51.2,43.8,50,29.4,48.6,46.8,55.4,45.5,41.4,47.4
25-30,T,Y65-74,QU4,53.5,54.3,:,46.3,40.3,49.5,43.2,:,55.4,59.3,39.9,58.8,48.1,45.7,:,:,40.8,44.3
25-30,T,Y65-74,QU5,39.6,56.4,:,52.4,31.6,56.4,46.5,:,56.3,:,33.1,43.3,57.7,48.8,:,:,:,34.6
25-30,T,Y65-74,TOTAL,43.5,49.3,44.7,45,39.6,48,47.1,39.3,46.3,45.7,43.6,41.0,48.6,46.1,50.2,49.4,44,42.7
25-30,T,Y65-74,UNK,39.3,:,43.0,44.8,35.5,47.6,45.1,39.3,:,:,31.5,36.5,:,51.4,52.2,46.4,57.2,:
25-30,T,Y_GE75,QU1,31.2,39.7,47.1,48.9,41.3,45.1,44.7,:,36,:,39,32.3,43.7,42.3,37.5,34.2,53.9,32.4
25-30,T,Y_GE75,QU2,35,50.5,62.7,43.6,35.7,50.6,44.6,:,35.4,39.1,41.1,34.9,46.8,45.6,36.7,63.7,47.5,40.5
25-30,T,Y_GE75,QU3,44.9,44.6,54.8,34.4,41.2,45.6,47.4,:,37.3,54.9,41,26.3,46.3,46.5,52.9,:,35.0,33.3
25-30,T,Y_GE75,QU4,42.5,29.6,:,:c,39.1,61.1,45,:,:,:,36.7,:,43,46.7,:,:,:,40.4
25-30,T,Y_GE75,QU5,30.1,54.1,:,:c,43.6,:,57.7,:,:,:,32.6,:,34.5,38.3,:,:,:,39.8
25-30,T,Y_GE75,TOTAL,38.9,42,51.3,42.6,40.2,47.3,45.2,36,35.8,44,38.5,36.9,44.3,44,37.7,47.7,47.9,36.2
25-30,T,Y_GE75,UNK,41.3,:,47.9,40.9,33.6,45.7,43.7,36,:,:,23.0,41.2,:,42.2,35.7,38.2,:,:
GE30,F,TOTAL,QU1,17.7,16.4,24.9,22.5,27.1,17.8,24.2,:,21.6,21.9,22.7,31.9,16.7,19.7,8.4,24.6,29.2,21.8
GE30,F,TOTAL,QU2,19.5,12.9,25.6,18.5,22.3,18.4,18,:,16.7,26.7,20.8,28.3,14,19.3,7.9,18.6,17.1,19.5
GE30,F,TOTAL,QU3,22.1,11,21.6,18.2,25.3,13.7,15.1,:,13.2,19.7,18.5,18.7,14.4,17,6,15.8,13.7,20
GE30,F,TOTAL,QU4,17.8,10.5,16.2,11.6,22.9,14.2,10,:,12.2,11.9,17.9,22.4,12.6,13.6,5.1,13,12.7,19.5
GE30,F,TOTAL,QU5,8.9,8,10.1,9.8,14.9,11.6,5.7,:,8.4,9.2,14.5,14.5,8.3,13.2,6.3,8.6,10.4,17.5
GE30,F,TOTAL,TOTAL,14.7,11.3,18.3,15.6,20.5,17.6,14.4,12.7,14.5,20.9,18.8,21.1,13.2,15.8,8,16.3,15.7,19.8
GE30,F,TOTAL,UNK,12,6.9,16.3,13.2,11.2,20.5,11.7,12.7,8.8,:,15.5,18.9,:,14.2,6.3,16.7,8.6,13.7
GE30,F,Y18-44,QU1,7.1,5.5,:,15.2,10.3,7.7,12.9,:,6,17.2,13,13.9,8.1,7.4,3.3,11.0,8.8,16.3
GE30,F,Y18-44,QU2,18,4,21.0,11.2,7,6.2,10.9,:,8.6,7.9,11.4,20.8,8.1,8.2,4,12.7,8.9,13.8
GE30,F,Y18-44,QU3,14.1,4.5,7,14.6,10.3,6.6,9.7,:,9.4,7.5,14.4,14.1,8.2,6.8,4.2,8.6,5.2,13.5
GE30,F,Y18-44,QU4,13.9,7.8,10.1,8.7,12.6,7.2,5.9,:,7.7,6.2,11,19.3,9,5.5,2.3,10.4,7.2,10.7
GE30,F,Y18-44,QU5,8.7,4.9,6.3,:c,6.9,2.7,4.8,:,4.6,4.2,8.6,12.3,6.2,4.8,:,2.7,4,9.1
GE30,F,Y18-44,TOTAL,10.4,5.3,9.1,10,8.3,7.9,8.3,9,7.6,7.4,10.6,14.3,7.9,6.1,3.6,8.6,6.1,13
GE30,F,Y18-44,UNK,7.9,2.6,8.7,7.8,3.7,10.2,7.2,9,7.5,:,3.6,11.2,:,5.8,2.5,10.1,3.6,6.4
GE30,F,Y45-54,QU1,14.2,13.9,:,22,22.7,15.3,25.5,:,24.9,12.3,27.9,29.2,21.9,14.6,14.5,:,21.9,38.4
GE30,F,Y45-54,QU2,12.6,10.5,:,21.6,28.7,26.9,14.8,:,20.1,31.6,24,23.5,13.2,19.2,12.6,22.3,12.1,32.2
GE30,F,Y45-54,QU3,22.8,14.3,21.8,22.3,22.1,24.6,19.8,:,19.9,27.9,23.5,25.7,17.2,18.4,9.2,28.3,16.2,36.4
GE30,F,Y45-54,QU4,19.7,9.1,31.2,12.3,29.2,15.9,15.3,:,15.6,21.8,17.9,16.0,13.3,17.5,:,22.9,22.5,33.9
GE30,F,Y45-54,QU5,6.6,7.5,13.5,11.7,24,16,6.9,:,11.3,:,22.5,15.7,8.9,17,:,13.6,16.1,30.3
GE30,F,Y45-54,TOTAL,13.9,10.6,20.2,15.8,24.4,22.8,14.6,12.7,17.2,26.9,23.2,21.2,14.2,17.9,13.3,19.5,17,34.2
GE30,F,Y45-54,UNK,13.3,21.4,16.2,11.7,15.7,26.5,11.6,12.7,:,:,25.4,21.1,:,18.8,12.9,9.5,15.2,:
GE30,F,Y55-64,QU1,39.5,20.3,:,30.1,43.9,25.7,30.8,:,29.7,39.6,27.2,37.1,26.4,29.4,13.2,41.8,38.9,30.9
GE30,F,Y55-64,QU2,38.4,17.6,24.5,23,36.0,23.4,28.4,:,26.6,34,39.9,34.2,24.2,30.6,16.3,23.1,28.1,31.8
GE30,F,Y55-64,QU3,24.8,20.4,29.1,:c,38.9,20.9,23.8,:,18.9,35.8,23.7,16.2,21.5,29,8.1,:,28.9,36.9
GE30,F,Y55-64,QU4,23.3,16,29.7,:c,41.5,30.4,12.7,:,22.9,46.4,25.4,34.6,20.1,28.1,:,:,24.0,49.9
GE30,F,Y55-64,QU5,12.4,18.6,23.9,:c,31,25.4,4.7,:,12.5,:,15.1,24.2,19.2,30,:,:,52.0,28.3
GE30,F,Y55-64,TOTAL,21.1,18.4,29.3,21.5,37.7,26.6,20.2,17.8,22.8,35.9,27.5,28.7,22.6,28.4,14.1,28,30.7,35.4
GE30,F,Y55-64,UNK,15.3,:,35.4,19.1,27.7,28,14.9,17.8,:,:,42.7,28.1,:,25.1,13.4,28.6,23.6,:
GE30,F,Y65-74,QU1,20.3,21,39.7,30.5,31.3,33.4,32.6,:,29.3,:,32.1,47.1,23.1,26.6,10.6,24.9,42,30.8
GE30,F,Y65-74,QU2,18.2,20.2,37.4,18.7,28.4,38.9,27.8,:,25.7,36.6,25.8,31.0,19.4,31.3,13.2,22.4,26.5,30.7
GE30,F,Y65-74,QU3,34.1,7.2,34.5,:c,39.7,28.1,23.8,:,16.1,36.2,14.5,:,17.1,27.4,:,:,35.0,35.6
GE30,F,Y65-74,QU4,21.2,14.4,:,:c,30.1,30.7,20.4,:,:,14.2,43.4,:,22.7,25.9,:,:,:,30.9
GE30,F,Y65-74,QU5,21.6,20.0,:,:c,41,:,8.1,:,:,:,23.0,:,6,26.4,:,:,:,54.6
GE30,F,Y65-74,TOTAL,21.5,18.9,35.9,21.7,33.8,32.4,26.8,17.8,26.6,35.3,26,31.9,19.6,27.6,10.8,24.2,33.7,33.4
GE30,F,Y65-74,UNK,15.7,:,:,16.9,25.1,31.8,24.7,17.8,:,:,:,23.1,:,26.5,5.0,30.5,13.9,:
GE30,F,Y_GE75,QU1,19.1,15.4,22.5,:c,19.9,22,27.5,:,21,:,19.2,:,15.8,19.6,7.3,19.8,24.7,18.4
GE30,F,Y_GE75,QU2,15.1,14.3,22.1,:c,30.2,18.6,26.5,:,27.7,29,13.9,45.5,14.6,22.7,9,:,20.1,19.5
GE30,F,Y_GE75,QU3,20.8,16.7,:,:c,23.4,6.8,19.6,:,:,24.8,25.7,:,26.2,23.5,:,:,:,5.4
GE30,F,Y_GE75,QU4,16,24.5,:,:c,31.9,:,33.9,:,:,:,21.0,:,12,19.5,:,:,:,26.2
GE30,F,Y_GE75,QU5,1.0,11.1,:,:c,33.8,:,17.1,:,:,:,:,:,11.9,28.8,:,:,:,31.5
GE30,F,Y_GE75,TOTAL,17,15.5,24.5,19.6,23.6,20,24.7,14.9,22.4,27.7,21.5,30.1,15.9,21.4,7.7,18.7,22.5,18.9
GE30,F,Y_GE75,UNK,16.2,:,18.4,:c,20.7,21.2,16.3,14.9,:,:,:,:,:,20,18.7,25.9,:,:
GE30,M,TOTAL,QU1,11.7,11.6,19.5,20.9,11.1,18.8,20.4,:,17.9,7.6,20.5,27.4,12.9,14.6,6.9,23.6,14.8,11.3
GE30,M,TOTAL,QU2,13.5,7.9,22.4,19.2,12,20.9,19,:,16.5,12.8,24.4,26.9,13.1,18.6,8.4,27,17.1,13.5
GE30,M,TOTAL,QU3,15.6,12.3,22,19.2,16.1,18,18.9,:,18.2,12.4,20.3,27.9,14,18.4,5.4,19.8,14.4,12.7
GE30,M,TOTAL,QU4,13.5,15.2,22,16.1,20.5,17.7,17.2,:,16.3,11.2,23.6,22.9,12.6,15.8,7.9,18,15.7,12.8
GE30,M,TOTAL,QU5,12,11.1,12.3,12,16.7,14.7,13.6,:,14,8.4,19.7,19.2,10.1,17.2,8.8,9.2,12.7,15.5
GE30,M,TOTAL,TOTAL,13.3,11.6,18.4,16.1,16,17.6,17,11.7,16.7,12,21.4,24.7,12.4,17.3,7.6,17.3,14.5,13
GE30,M,TOTAL,UNK,13.5,8.5,16.6,12.9,10.7,17.5,13.3,11.7,20.4,:,19.7,25.9,:,17.9,10.4,12.1,10.7,9.5
GE30,M,Y18-44,QU1,11.5,9.7,:,16.2,4.9,18.8,13.2,:,5.5,12.9,11,17.7,6.7,8.9,4.3,26.7,16.2,7.7
GE30,M,Y18-44,QU2,6.4,3.3,9.7,13.6,12.5,10.5,14.8,:,11.9,7,14.9,24,6.9,11.6,5.8,16.9,11.3,10.2
GE30,M,Y18-44,QU3,9.8,8.5,10.5,11.6,13.4,12.6,16,:,14.6,8,15.7,25.2,10,12.5,4.3,14,8.1,8.6
GE30,M,Y18-44,QU4,11.4,16.1,21.3,14.5,13.1,13.7,13.3,:,12,7.6,17.3,19.5,10.6,11,2.2,16.2,10.6,9.2
GE30,M,Y18-44,QU5,9.2,7.7,8.4,9.6,13.3,14.1,11.3,:,8.9,5.7,11.9,15,7.8,11.7,:,8.4,10.2,11.1
GE30,M,Y18-44,TOTAL,9.8,9.4,12.6,11.6,12.3,13,13.1,7.2,11.7,7.8,13.5,19.5,8.6,11.5,5.2,12,10.3,9.2
GE30,M,Y18-44,UNK,10.1,8.7,11,8.8,7.5,12.6,9.4,7.2,15.5,:,7.3,18.5,:,12,8.8,5.9,10.5,4.9
GE30,M,Y45-54,QU1,23.1,7.9,:,:c,2.7,:,22,:,:,2.8,33.6,23.8,19.6,16.3,7.6,11.1,17.2,17.8
GE30,M,Y45-54,QU2,26.7,10.2,:,:c,21.1,25.4,20.8,:,18.8,10.9,25.4,29.0,14.3,22.6,13.8,47.3,15.9,22.5
GE30,M,Y45-54,QU3,16.9,11.4,43.1,24.9,21.3,19.9,23.7,:,20.7,16.1,27,30.0,19.2,25.1,14.5,30.8,18.1,18.6
GE30,M,Y45-54,QU4,12.4,15.7,11.2,17.2,25.3,12.4,23.4,:,21.9,17.5,39.2,27.0,12.8,22.4,:,26.1,21.8,24.4
GE30,M,Y45-54,QU5,15,14.9,22.8,14,22.4,18.2,15,:,19.6,:,34.1,27.1,12.5,25,:,4.5,15.8,21.9
GE30,M,Y45-54,TOTAL,15.6,12.9,23.9,19.6,20.2,18.8,19.6,14.5,20.5,14.4,31.6,27.6,14.6,23.4,10.7,22.7,16.5,20.8
GE30,M,Y45-54,UNK,14.5,7.1,23.2,18.6,15.8,20.2,13.8,14.5,:,:,32.0,27.0,:,25.1,12.5,15.9,4.2,:
GE30,M,Y55-64,QU1,7.4,16.8,:,:c,19.6,:,30.7,:,34.8,5.6,24.8,41.7,25.9,18.4,10.6,27.6,18.7,18.5
GE30,M,Y55-64,QU2,15.7,13.5,35.9,30.2,2.1,45.9,26.5,:,24,21.9,28.1,31.4,21.5,25.3,11,42.5,31.4,21.6
GE30,M,Y55-64,QU3,33.2,20.9,32.3,:c,22.4,24.4,22.8,:,20.8,18.1,19.3,25.9,21.4,24.4,:,:,20.4,24.8
GE30,M,Y55-64,QU4,19.2,16.7,39.4,23.9,37.1,40.1,29,:,23.6,26.5,29.6,25.0,21.2,23,:,:,27.2,11
GE30,M,Y55-64,QU5,20.6,16.9,12.1,16.8,23.4,:,19.5,:,21.5,:,22,24.1,13.8,25.9,:,19.3,13.9,21.8
GE30,M,Y55-64,TOTAL,22.3,16.9,29.6,23.2,23.1,27.2,24.8,15.6,23.8,19.5,25.3,31.5,20.1,24,10.7,26.6,22.8,20
GE30,M,Y55-64,UNK,24.9,:,32.9,:c,14.5,21.7,21.7,15.6,:,:,32.6,37.7,:,24.7,13.0,20.1,17.6,:
GE30,M,Y65-74,QU1,6.5,16.5,:,:c,16.7,:,27.6,:,23.8,:,26.7,29.4,20.2,23.7,9.2,:,16.1,21.7
GE30,M,Y65-74,QU2,11.4,9.7,:,:c,13.6,33.0,28.2,:,22,16.5,38.6,29.0,24.4,25.7,13.3,23.6,21.8,14.5
GE30,M,Y65-74,QU3,18.2,16.3,27.2,:c,14.9,27.5,25.4,:,27.5,25.2,32.4,38.9,17.8,25.7,:,:,31.3,21.6
GE30,M,Y65-74,QU4,14.2,6.2,:,:c,29.4,13.6,16.6,:,14.7,:,22.2,:,16.6,23,:,:,:,25.4
GE30,M,Y65-74,QU5,8.6,23.4,:,:c,30.4,11.6,15.3,:,16.2,:,40.7,:,11.5,25.6,:,:,:,40.9
GE30,M,Y65-74,TOTAL,11.3,14.9,25.3,18.2,20.4,25.8,23.9,19.4,22.8,19.6,33.9,31.1,19.1,24.6,10.5,24.3,25.1,21.9
GE30,M,Y65-74,UNK,6.6,:,:,:c,27.2,28.8,18.6,19.4,:,:,:,37.1,:,23.7,10.9,29.5,:,:
GE30,M,Y_GE75,QU1,11.4,5.7,:,:c,12.1,:,20,:,15.8,:,19.6,:,3.7,8.8,7.4,:,4.1,11.2
GE30,M,Y_GE75,QU2,16.3,2.7,:,:c,16,10.2,15.5,:,12.6,15.2,34.6,19.1,10.8,19.8,2.6,:,15.2,7
GE30,M,Y_GE75,QU3,7.9,7.9,3.9,:c,11.5,:,11.6,:,:,14.2,20.8,:,9.7,15.8,:,:,:,28.2
GE30,M,Y_GE75,QU4,12.4,:,:,:c,12.8,7.4,10.6,:,:,:,18.6,:,6.3,11.6,:,:,:,3.7
GE30,M,Y_GE75,QU5,4.7,:,:,:c,4.9,:,9.0,:,:,:,:,:,11.6,13.7,:,:,:,:
GE30,M,Y_GE75,TOTAL,10.8,6.1,9.9,15.7,12.1,14,16,14.5,17.9,14.3,24.6,20.8,8.3,15.6,6.8,10.4,14.9,11.3
GE30,M,Y_GE75,UNK,9.5,:,:,:c,15.0,14.3,16.7,14.5,:,:,:,20.0,:,17.5,18.9,:,:,:
GE30,T,TOTAL,QU1,15.1,14.5,23.2,21.9,22.8,18.2,22.6,:,20.2,14.4,21.9,30.1,15.4,17.9,7.8,24.2,24.7,16.4
GE30,T,TOTAL,QU2,17,10.5,24.4,18.9,18.3,19.5,18.5,:,16.6,21.5,22.5,27.6,13.6,19,8.2,23,17.1,16.4
GE30,T,TOTAL,QU3,19,11.7,21.8,18.7,21.5,15.7,17,:,15.7,16.2,19.5,23.5,14.2,17.7,5.7,17.9,14,16.2
GE30,T,TOTAL,QU4,15.7,12.8,19.2,14.1,21.8,16,13.9,:,14.3,11.6,20.6,22.6,12.6,14.7,6.3,15.4,14.3,15.9
GE30,T,TOTAL,QU5,10.5,9.5,11.3,11.1,15.8,13.2,9.8,:,11.2,8.8,17.1,16.9,9.3,15.1,7.7,8.9,11.7,16.4
GE30,T,TOTAL,TOTAL,14,11.5,18.3,15.8,18.5,17.6,15.7,12.2,15.6,16.9,20,22.9,12.8,16.4,7.9,16.8,15.1,16.2
GE30,T,TOTAL,UNK,12.7,7.7,16.4,13,10.9,19,12.5,12.2,13.8,:,17.6,21.9,:,15.8,8.1,14.4,9.7,11.5
GE30,T,Y18-44,QU1,9.3,7.6,5.2,15.7,7.8,12.5,13.1,:,5.8,14.8,12,15.1,7.5,8.1,3.8,19.4,12.3,11.9
GE30,T,Y18-44,QU2,12.8,3.7,16.7,12.5,9.3,8.2,12.9,:,10.2,7.5,13.1,22.1,7.5,9.8,4.9,15,10,11.9
GE30,T,Y18-44,QU3,11.8,6.6,8.6,13,11.4,9.3,12.9,:,11.9,7.7,15.1,20,9.2,9.6,4.2,11.5,6.7,11
GE30,T,Y18-44,QU4,12.7,11.8,15.7,11.7,12.8,10.6,9.8,:,9.8,6.9,14,19.4,9.8,8.1,2.2,13,9,9.9
GE30,T,Y18-44,QU5,8.9,6.3,7.4,8.4,10.4,8.4,8.1,:,6.7,5.1,10.3,13.7,7.1,8.2,4.2,5.8,7.3,10.2
GE30,T,Y18-44,TOTAL,10.1,7.4,10.8,10.9,10.3,10.5,10.8,8.1,9.6,7.6,12.1,16.8,8.2,8.7,4.4,10.4,8.2,11
GE30,T,Y18-44,UNK,9,5.5,9.9,8.3,5.8,11.5,8.4,8.1,11.1,:,5.5,14.6,:,8.7,5.2,7.8,7.2,5.6
GE30,T,Y45-54,QU1,18.4,11.2,:,22.3,12.4,14.1,23.8,:,26.4,7.4,30.5,26.7,21,15.5,11.4,19.5,19.7,27.0
GE30,T,Y45-54,QU2,20.9,10.4,:,23.6,26.4,26.2,17.7,:,19.4,22.3,24.7,26.4,13.7,20.6,13.1,35.7,13.8,27.1
GE30,T,Y45-54,QU3,20.6,12.9,33.0,23.8,21.8,21.9,21.8,:,20.3,22.6,25.4,28.2,18.1,21.5,11.2,29.6,17.1,26.4
GE30,T,Y45-54,QU4,16.2,12.2,21,15,27.5,14.1,19.4,:,18.8,19.6,26.7,22.6,13.1,19.7,:,24.4,22.1,28.7
GE30,T,Y45-54,QU5,11.3,11.1,18.9,13,23.2,17.1,11.1,:,15.2,:,28.6,21.2,10.9,20.8,:,9.7,15.9,26
GE30,T,Y45-54,TOTAL,14.7,11.7,22.1,17.7,22.5,20.8,17.1,13.6,18.8,21.1,27.3,24.3,14.4,20.4,12.1,21.1,16.8,26.9
GE30,T,Y45-54,UNK,13.9,14.1,19.5,14.8,15.7,23.5,12.7,13.6,13.4,:,28.9,23.3,:,21.7,12.7,12.9,9.4,14.0
GE30,T,Y55-64,QU1,24.3,19.1,28.1,31.1,36,19.9,30.7,:,31.1,21.1,26.4,39.0,26.2,25.2,12.1,35.7,33.1,24.5
