bmi,sex,age,quantile,time\geo	BE 	BG 	CZ 	DE 	EE 	EL 	ES 	FR 	CY 	LV 	HU 	MT 	AT 	PL 	RO 	SI 	SK 	TR 
18P5-25,M,Y55-64,QU3,2008	30.4 	27.3 	14.3 u	23.8 	35.5 	14.5 u	26.5 	: 	21.7 	31.5 	25.6 	22.2 u	23.8 	26.1 	35.4 u	: 	20.6 	27.3 
18P5-25,M,Y55-64,QU4,2008	31.2 	30.0 	13.2 u	26 	29.5 	17.8 	16.6 	: 	12.8 	25.4 u	31.9 	25.0 u	25.3 	22.1 	: 	: 	19.8 	42.1 
18P5-25,M,Y55-64,QU5,2008	24.5 	26.4 	34.2 u	30.3 	31.3 	: 	22.9 	: 	26.7 	: 	24.3 	11.1 	33.5 	23.2 	: 	26.7 u	17.3 u	28.3 
18P5-25,M,Y55-64,TOTAL,2008	29.4 	30.8 	18.3 	26.4 	35.2 	20.0 	23.9 	35.4 	23.4 	32.8 	29.7 	17.8 	29.5 	26.3 	31.3 	26.9 	23.1 	33.5 
18P5-25,M,Y55-64,UNK,2008	25.7 	: 	9.9 u	28.8 	38.4 u	22.7 	28.2 	35.4 	: 	: 	28.0 u	18.2 u	: 	26.3 	45.0 u	22.8 u	21.6 u	: 
18P5-25,M,Y65-74,QU1,2008	45.9 u	34.5 	: 	31.3 	43.0 	: 	21.7 	: 	33.9 	: 	34.2 	23.5 u	31.4 	39.5 	36.5 	: 	31.1 u	41.7 u
18P5-25,M,Y65-74,QU2,2008	39.2 u	38.7 	: 	24.7 	37.9 u	17.0 u	19.2 	: 	30.0 	24.8 	27.2 	21.1 u	22.9 	25.7 	29.4 	29.4 u	30.0 	34.5 
18P5-25,M,Y65-74,QU3,2008	27.9 	50.6 	20.8 u	29.3 	41.8 	17.9 u	19.0 	: 	17.8 u	31.1 	19.8 	16.7 u	28.7 	24.5 	: 	: 	24.8 	23.6 
18P5-25,M,Y65-74,QU4,2008	29.1 	37.5 u	: 	33.2 	22.8 	25.4 u	33.8 	: 	14.9 u	: 	22.0 u	: 	26.5 	26.0 	: 	: 	: 	27.1 
18P5-25,M,Y65-74,QU5,2008	40.6 u	19.3 u	: 	30.6 	31.5 	29.3 u	37.7 	: 	26.9 u	: 	30.3 u	: 	29.1 	20.1 	: 	: 	: 	18.2 u
18P5-25,M,Y65-74,TOTAL,2008	36.8 	36.0 	20.4 	29.4 	36.8 	21.2 	24.1 	32.9 	28.1 	28.2 	25.9 	20.7 u	27.0 	24.8 	34.7 	23.2 	28.4 	31.5 
18P5-25,M,Y65-74,UNK,2008	44.0 	: 	: 	30.4 	35.3 u	20.2 	28.7 	32.9 	: 	: 	: 	22.9 u	: 	17.1 	32.3 u	24.8 u	: 	: 
18P5-25,M,Y_GE75,QU1,2008	49.8 	48.9 	: 	: c	45.1 	: 	29.0 	: 	46.4 	: 	44.0 u	: 	36.3 	38.2 	44.4 	: 	24.6 u	50.6 u
18P5-25,M,Y_GE75,QU2,2008	46.7 	42.6 u	: 	: c	45.9 	44.3 u	33.9 	: 	45.8 u	37.7 	22.9 u	42.9 u	32.8 	30.1 	48.4 	: 	33.4 u	43.2 
18P5-25,M,Y_GE75,QU3,2008	33.6 	50.2 u	29.5 u	: c	41.3 	: 	33.2 	: 	: 	22.4 	31.5 u	: 	34.1 	33.9 	: 	: 	: 	27.7 u
18P5-25,M,Y_GE75,QU4,2008	38.3 	: 	: 	: c	35.5 	27.5 u	35.7 	: 	: 	: 	38.6 u	: 	46.0 	34.3 	: 	: 	: 	30.6 u
18P5-25,M,Y_GE75,QU5,2008	57.8 u	: 	: 	: c	57.1 u	: 	31.1 u	: 	: 	: 	: 	: 	48.8 u	32.3 	: 	: 	: 	: 
18P5-25,M,Y_GE75,TOTAL,2008	40.7 	47.7 	28.7 	33.7 	43.2 	34.0 	31.5 	40.6 	41.9 	30.8 	33.0 	32.5 u	37.9 	33.5 	44.6 	26.4 	33.9 	43.6 u
18P5-25,M,Y_GE75,UNK,2008	37.9 	: 	: 	: c	42.5 u	32.9 	27.8 	40.6 	: 	: 	: 	10.0 u	: 	36.1 	37.9 u	: 	: 	: 
18P5-25,T,TOTAL,QU1,2008	51.4 	42.6 	33.8 	39.6 	39.6 	40.9 	36.5 	: 	42.5 	53.1 	42.0 	34.7 u	46.0 	43.7 	47.2 	32.2 	36.0 	49.2 u
18P5-25,T,TOTAL,QU2,2008	50.8 	42.6 	35.7 	39.9 	46.6 	39.8 	41.7 	: 	42.7 	37.4 	37.5 	30.0 u	47.8 	40.5 	47.5 	38.4 	44.2 	44.7 
18P5-25,T,TOTAL,QU3,2008	41.9 	43.3 	34.7 	42.2 	42.7 	46.3 	43.0 	: 	45.5 	43.8 	37.2 	35.7 	45.1 	42.0 	52.8 	38.6 	47.7 	46.0 
18P5-25,T,TOTAL,QU4,2008	43.5 	47.7 	40.3 	47.1 	45.4 	43.6 	48.7 	: 	47.3 	49.9 	43.7 	40.5 	49.2 	44.8 	55.6 	39.5 	48.8 	46.2 
18P5-25,T,TOTAL,QU5,2008	54.8 	49.3 	50.6 	50.1 	48.7 	45.4 	51.7 	: 	51.9 	49.3 	46.5 	40.8 	53.8 	46.4 	46.6 	50.5 	49.4 	44.6 
18P5-25,T,TOTAL,TOTAL,2008	49.7 	46.2 	40.9 	45.7 	46.2 	41.9 	45.0 	53.1 	45.8 	43.2 	41.7 	38.0 u	48.7 	43.6 	47.8 	41.8 	46.7 	46.4 
18P5-25,T,TOTAL,UNK,2008	51.7 	51.9 	42.8 	50.7 	53.2 	39.9 	48.0 	53.1 	47.1 	: 	47.0 	41.3 u	: 	43.8 	52.7 	45.7 	52.7 	53.6 u
18P5-25,T,Y18-44,QU1,2008	60.1 	58.6 	59.3 u	54.9 	71.1 	49.4 	51.6 	: 	66.2 	61.6 	56.0 	56.6 u	63.7 	59.6 	57.3 	42.8 	60.7 	56.2 u
18P5-25,T,Y18-44,QU2,2008	61.1 	55.5 	56.9 	49.1 	65.3 	57.2 	53.5 	: 	52.1 	54.9 	52.0 	39.3 u	62.3 	54.9 	57.4 	55.8 	60.2 	53.4 
18P5-25,T,Y18-44,QU3,2008	55.1 	52.2 	54.6 	51.8 	59.2 	61.7 	50.9 	: 	56.0 	58.3 	49.6 	39.5 	56.2 	56.0 	60.6 	49.0 	60.1 	55.1 
18P5-25,T,Y18-44,QU4,2008	55.0 	55.8 	49.2 	54.1 	58.0 	54.6 	56.7 	: 	55.8 	58.4 	52.5 	49.4 	59.2 	57.1 	63.7 	49.3 	57.8 	54.9 
18P5-25,T,Y18-44,QU5,2008	59.6 	59.8 	60.6 	58.4 	56.2 	61.5 	59.6 	: 	63.0 	57.7 	59.1 	51.1 	62.7 	57.9 	60.4 u	58.7 	59.5 	54.4 
18P5-25,T,Y18-44,TOTAL,2008	59.6 	57.5 	55.2 	56.7 	58.5 	56.4 	55.1 	62.9 	57.1 	57.7 	54.7 	48.2 	60.8 	56.8 	57.8 	53.9 	60.1 	54.9 
18P5-25,T,Y18-44,UNK,2008	63.2 	58.7 	54.6 	63.3 	62.3 	54.7 	57.3 	62.9 	48.9 	: 	61.1 	52.2 u	: 	56.5 	61.4 	56.5 	64.6 	61.7 u
18P5-25,T,Y45-54,QU1,2008	51.6 	43.9 	: 	40.9 	48.5 	51.1 u	37.5 	: 	39.4 	62.3 	42.9 	26.7 	36.4 	48.5 	37.2 	28.8 u	40.9 	33.3 u
18P5-25,T,Y45-54,QU2,2008	53.1 	48.6 	: 	41 	39.4 	42.8 	39.5 	: 	41.0 	37.3 	30.4 	26.4 	42.8 	37.7 	32.2 	23.2 	42.0 	28.6 u
18P5-25,T,Y45-54,QU3,2008	41.8 	36.9 	20.3 u	34.7 	44.0 	36.6 	38.3 	: 	33.9 	33.0 	25.7 	34.1 u	40.1 	35.3 	39.0 	28.7 	39.8 	26.6 
18P5-25,T,Y45-54,QU4,2008	38.6 	38.0 	18.8 	42.9 	37.2 	33.0 	40.0 	: 	42.8 	34.7 	42.5 	30.7 	42.2 	34.1 	34.7 u	25.2 	37.1 	26.5 
18P5-25,T,Y45-54,QU5,2008	52.5 	39.6 	35.6 	47.2 	37.4 	23.4 	45.6 	: 	41.3 	: 	30.1 	33.3 	46.3 	35.7 	: 	43.0 	35.0 	28.9 
18P5-25,T,Y45-54,TOTAL,2008	47.7 	40.1 	30.3 	42.9 	39.6 	34.8 	41.1 	49.0 	39.6 	35.8 	33.6 	32.0 u	42.5 	36.0 	34.9 	33.1 	38.5 	28.8 
18P5-25,T,Y45-54,UNK,2008	48.8 	40.5 	32.1 	46.5 	39.6 	35.4 	43.9 	49.0 	44.9 u	: 	30.2 	34.3 u	: 	33.1 	34.8 	42.0 	36.2 	53.4 u
18P5-25,T,Y55-64,QU1,2008	48.7 	35.8 	18.9 u	29.4 	31.3 	32.0 u	28.3 	: 	30.2 	38.3 u	36.1 	30.5 u	34.4 	36.8 	35.7 	20.6 	35.8 	35.8 u
18P5-25,T,Y55-64,QU2,2008	35.2 	31.3 	21.8 	33.2 	33.9 	16.0 	29.6 	: 	27.8 	28.5 	24.8 	27.6 u	33.1 	28.2 	29.9 	28.7 	30.2 	25.6 
18P5-25,T,Y55-64,QU3,2008	32.9 	31.5 	25.1 	32.2 	31.0 	21.9 	30.5 	: 	28.5 	23.8 	26.4 	25.0 	29.8 	28.5 	43.6 	25.3 u	27.2 	24.3 
18P5-25,T,Y55-64,QU4,2008	36.5 	36.8 	22.8 	34.5 	25.3 	25.6 	29.0 	: 	21.9 	21.1 	28.2 	34.0 	32.0 	25.7 	: 	34.7 u	20.5 	33.4 
18P5-25,T,Y55-64,QU5,2008	36.2 	27.0 	33.9 u	38.2 	32.6 	33.8 	36.2 	: 	38.5 	: 	26.1 	17.2 	37.7 	27.1 	: 	33.3 u	17.6 	27.4 
18P5-25,T,Y55-64,TOTAL,2008	36.8 	32.8 	23.2 	34.4 	30.9 	25.0 	32.1 	41.9 	29.6 	26.0 	28.4 	27.7 u	33.4 	29.1 	34.3 	28.9 	26.8 	29.3 
18P5-25,T,Y55-64,UNK,2008	36.8 	48.6 u	15.0 	37.2 	35.4 u	25.5 	37.6 	41.9 	36.6 u	: 	24.6 	31.2 u	: 	30.4 	43.6 u	31.3 	23.5 	: 
18P5-25,T,Y65-74,QU1,2008	38.5 	32.3 	21.2 	30.9 	29.5 	27.6 	22.9 	: 	28.6 	: 	25.8 	21.6 u	27.9 	30.2 	39.1 	22.8 	24.5 	35.1 u
18P5-25,T,Y65-74,QU2,2008	46.8 	35.5 	20.4 u	34 	29.4 	15.6 	22.1 	: 	29.9 	23.1 	23.0 	19.4 u	32.2 	26.9 	35.7 	32.2 	26.5 	29.4 u
18P5-25,T,Y65-74,QU3,2008	28.1 	42.7 	20.7 	30.2 	32.0 	24.8 	25.5 	: 	25.5 	24.7 	26.2 	29.4 u	33.5 	26.3 	37.7 u	26.1 u	25.9 	22.5 u
18P5-25,T,Y65-74,QU4,2008	27.6 	35.5 	: 	37.6 	29.4 	27.3 	38.5 	: 	24.2 u	25.7 u	22.8 	11.8 u	32.2 	29.7 	: 	: 	21.1 u	25.2 
18P5-25,T,Y65-74,QU5,2008	45.6 	22.0 	: 	36.6 	30.8 	28.1 u	40.5 	: 	23.4 u	: 	35.1 u	40.0 u	33.0 	25.1 	: 	: 	: 	17.4 
18P5-25,T,Y65-74,TOTAL,2008	38.4 	33.1 	22.6 	33.9 	30.7 	22.1 	27.1 	40.6 	28.5 	23.8 	26.1 	26.4 u	31.5 	26.9 	38.4 	26.4 	25.7 	28.0 u
18P5-25,T,Y65-74,UNK,2008	47.3 	: 	22.3 u	36.2 	36.0 u	21.0 	32.9 	40.6 	: 	: 	32.2 u	32.4 u	: 	22.5 	40.5 u	23.6 	28.4 u	: 
18P5-25,T,Y_GE75,QU1,2008	48.8 	46.6 	31.3 	32.5 	38.1 	31.7 	29.6 u	: 	42.1 	: 	39.0 	38.7 u	40.9 	37.8 	53.6 	42.1 	25.0 	50.4 u
18P5-25,T,Y_GE75,QU2,2008	46.3 	41.8 	17.1 u	32.2 	36.7 	34.5 	33.6 	: 	42.2 	34.6 	34.7 	30.2 u	37.7 	31.5 	54.4 	25.6 u	33.8 	43.6 u
18P5-25,T,Y_GE75,QU3,2008	38.5 	41.2 	24.6 u	54.1 	38.3 	43.3 	36.3 	: 	34.1 u	22.8 	30.9 	47.4 u	35.8 	31.5 	41.1 u	: 	46.7 u	49.9 u
18P5-25,T,Y_GE75,QU4,2008	38.5 	52.8 u	: 	: c	34.7 	28.5 u	31.8 	: 	: 	: 	43.6 u	: 	46.0 	37.2 	: 	: 	: 	37.7 u
18P5-25,T,Y_GE75,QU5,2008	64.1 	34.0 u	: 	: c	31.7 	: 	28.5 u	: 	: 	: 	27.4 u	: 	50.4 	35.5 	: 	: 	: 	29.1 u
18P5-25,T,Y_GE75,TOTAL,2008	43.1 	44.8 	29.4 	37.3 	37.7 	34.8 	32.7 	45.5 	41.2 	31.2 	36.6 	35.6 u	40.6 	34.9 	53.2 	34.3 	31.6 	45.1 u
18P5-25,T,Y_GE75,UNK,2008	40.3 	: 	31.3 u	36.9 	45.8 	35.4 	36.5 u	45.5 	: 	: 	44.0 u	33.3 u	: 	36.6 	45.6 u	38.6 u	: 	: 
25-30,F,TOTAL,QU1,2008	27.8 	40.5 	40.0 	33.3 	37.4 	35.3 	35.3 	: 	33.5 	23.8 	32.1 	27.1 u	34.4 	34.6 	38.6 	36.9 	36.1 	27.4 u
25-30,F,TOTAL,QU2,2008	24.8 	39.5 	31.1 	30.4 	29.4 	34.7 	31.9 	: 	28.8 	35.4 	34.8 	34.3 u	29.4 	32.3 	33.6 	37.2 	30.2 	31.1 u
25-30,F,TOTAL,QU3,2008	31.0 	37.8 	34.3 	30.9 	29.8 	31.7 	28.6 	: 	28.0 	33.7 	35.1 	34.7 	32.4 	31.5 	30.6 	37.0 	26.4 	29.8 
25-30,F,TOTAL,QU4,2008	32.5 	30.0 	23.2 	26.3 	25.7 	29.2 	25.0 	: 	26.4 	26.0 	27.8 	24.5 	28.1 	29.8 	29.3 	32.5 	24.5 	28.6 
25-30,F,TOTAL,QU5,2008	20.7 	26.4 	28.7 	25.2 	21.5 	23.1 	24.4 	: 	21.2 	23.3 u	27.9 	29.3 	23.5 	26.9 	36.7 u	18.6 	20.6 	28.9 
25-30,F,TOTAL,TOTAL,2008	26.8 	33.0 	30.0 	28.8 	27.1 	31.3 	29.0 	24.5 	27.7 	32.7 	31.1 	29.6 u	29.5 	30.4 	36.1 	30.7 	27.3 	29.1 u
25-30,F,TOTAL,UNK,2008	26