bmi,sex,age,quantile,time\geo,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18P5-25,F,TOTAL,QU1,2008,50.7,41.2,33.5,40.5,34.4,43.4,37.8,:,41.8,50.5,40.8,38.9u,46.2,42.4,50.5,36,33.1,46.9u
18P5-25,F,TOTAL,QU2,2008,51.8,43.9,41.1,47.9,44.1,41.1,47.9,:,49.5,35.2,39.5,33.3u,53.6,45,54.6,42.2,49.4,44.4u
18P5-25,F,TOTAL,QU3,2008,43.2,47,41.8,48.3,41.4,52.8,53.8,:,53.8,43.3,41,42.5,50.8,48.8,59.3,46.8,55.7,46.6
18P5-25,F,TOTAL,QU4,2008,47.1,54.6,50.9,59.1,48.3,53.3,60.8,:,56.1,59.6,48.7,50.4,55.7,52.8,65.6,51,56.6,46.8
18P5-25,F,TOTAL,QU5,2008,65.1,58.7,55.7,61.7,56.9,61.2,65,:,64.6,63.6u,53,53.3,64.4,56,54.7u,70.4,62.3,48.3
18P5-25,F,TOTAL,TOTAL,2008,54.5,50.7,47.4,52.1,48,48,53.2,57.7,52.8,43.5,45.2,46.0u,54.1,50.1,52.8,50.6,52.5,46.6u
18P5-25,F,Y18-44,QU1,2008,62.6,61.9,:,57.2,70.5u,59.5,54.7,:,72.2,62.8u,60.7,61.1u,66.2,65.3,62.6,61.9u,60.6,55.7u
18P5-25,F,Y18-44,QU2,2008,62.8,63.3,62.9u,59.5,66.9,65.4,62,:,62.7,56.1,56.1,44.4u,69.8,62.9,65.8,62.5,70.7,54.3
18P5-25,F,Y18-44,QU3,2008,58,63.5,69,56.6,61.7,67.7,63.5,:,63.7,62.2,56.6,46.5,61.8,68.7,68.6,61.4,69.1,56.3
18P5-25,F,Y18-44,QU4,2008,57.4,64,58.2,66,64,67.6,68,:,63.7,70.3,60.8,56.6,65.8,68,71.4u,59.9,67,57.3
18P5-25,F,Y18-44,QU5,2008,65.6,70,68.1,67.3,66.6,79.8,70.6,:,73.7,72.4u,65.9,65.2,70.3,70.6,:,79.5,72.9,60.6
18P5-25,F,Y18-44,TOTAL,2008,63.6,66.5,66.1,64.3,66.3,66.7,64.8,65.5,66,63.3,61.8,57.5,67.1,67.9,64.8,67,70.2,56.6
18P5-25,F,Y45-54,QU1,2008,60.0u,38.4,:,43.4,42.3u,52.6u,43.5,:,41.4,65.2u,46.6,33.3u,40.1,53.8,40.2,:,43.0u,24.9u
18P5-25,F,Y45-54,QU2,2008,56.2u,55.5u,:,46.8,37.5,39.9u,50.7,:,50.6,34.6,34.7,32.4u,55.1,44.8,36.8,40.1u,52.6,25.0u
18P5-25,F,Y45-54,QU3,2008,40.3,37.4,17.9u,43.6,43,43.5,52.8,:,37.8,34.4,31.5,42.9u,50.5,43.2,42.8,38.0u,50.2,23
18P5-25,F,Y45-54,QU4,2008,46.8,44.7,31.5u,54.6,38.4,38.3,54.2,:,51.2,42.2,48.2,40.0u,49.7,43.3,:,34.5u,44.9,25.1
18P5-25,F,Y45-54,QU5,2008,72.4,55.8,34.3u,61.6,47.6,32.2,62.1,:,55.6,:,42.4,41.2,64.9,44.7,:,59.1u,46,30.7
18P5-25,F,Y45-54,TOTAL,2008,56.7,48.4,34.1,52.9,43.6,41.1,53.9,58.9,48.2,37.5,41.4,38.5u,53.3,44,38.5,46.4,47.6,25.9u
18P5-25,F,Y45-54,UNK,2008,55.5,48.8u,37.4u,58,47.3u,42.5,55.2,58.9,:,:,44.2u,38.5u,:,41.2,29.6,57.2u,42.0u,:
18P5-25,F,Y55-64,QU1,2008,43,35.2,:,32.6,21.8,26.4u,30.1,:,30.4,23.6u,33.9,40.0u,36.3,32.8,36.3,18.6u,33,30.8u
18P5-25,F,Y55-64,QU2,2008,35,26.9,32.2u,41.9,28.4u,17.7,33.7,:,29.6,25.1,21.6,34.2u,33.7,31.6,35.1,26.3u,32.4,21.7u
18P5-25,F,Y55-64,QU3,2008,35.3,35.3,33.7,41.4,28.8,27.1,34.7,:,36,17.6,27.1,27.0u,35.4,30.4,52.3u,:,33.8,20.7u
18P5-25,F,Y55-64,QU4,2008,42,44.6,35.1u,47.8,21.4,35.2,48.1,:,32.5,15.3u,24.7,42.3u,38.4,28.6,:,:,21.6u,23.2
18P5-25,F,Y55-64,QU5,2008,50.5,27.7,33.5u,52.2,34,46.6u,54.3,:,57.6,:,27.8,27.3u,44.4,30.5,:,:,18.4u,26.4
18P5-25,F,Y55-64,TOTAL,2008,44.2,34.4,28,42.3,27.5,29.5,40.1,48.3,35.5,20.9,27.3,36.6u,37,31.3,36.7,30.9,30,24.6u
18P5-25,F,Y65-74,QU1,2008,34.1,31.1,25.6u,30.7,26.6,28.0u,23.6,:,25.6,:,22,20.6u,26.6,27,40.8,24.1u,22.5,29.7u
18P5-25,F,Y65-74,QU2,2008,50.6,32.4,20.9u,42.7,25.5,14.9,24.6,:,29.9,22.2,20.1,17.2u,41,27.9,41.8,35.3u,23.6,22.1u
18P5-25,F,Y65-74,QU3,2008,28.3,35,20.6u,31.3,21.9,33.6u,32.7,:,38.7u,20,31,:,38.9,27.8,:,:,27.6u,21.4u
18P5-25,F,Y65-74,QU4,2008,26,33.4u,:,44.1,35.4,28.7u,44.1,:,:,18.1u,23.4u,:,38.6,33.1,:,:,:,23.1
18P5-25,F,Y65-74,QU5,2008,51.3u,24.6u,:,46.1,30.1,:,45.1u,:,:,:,39.9u,:,38.5,31.4,:,:,:,16.5u
18P5-25,F,Y65-74,TOTAL,2008,39.8,31,24.1,37.7,27,22.9,29.7,46.7,28.8,21.2,26.3,31.9u,35.4,28.4,41.1,29,23.8,24.3u
18P5-25,F,Y_GE75,QU1,2008,48.5,45.5,32.7,36.1,37,32,30.0u,:,39.4,:,38,:,41.9,37.8,58.9,42.6u,25.2,50.2u
18P5-25,F,Y_GE75,QU2,2008,46.1,40.7u,17.2u,34.7,31.9,26.7,33.2,:,38.4u,33.6,44,18.2u,40.6,32.3,60,:,34.0u,43.9u
18P5-25,F,Y_GE75,QU3,2008,42.6,32.8u,:,:c,35.1,40.8u,39.1,:,:,22.9,30.4u,:,37.7,29.6,:,:,:,66.7u
18P5-25,F,Y_GE75,QU4,2008,38.9,48.9u,:,:c,34.4u,:,27.3,:,:,:,48.6u,:,46,39.4,:,:,:,43.5u
18P5-25,F,Y_GE75,QU5,2008,71.5u,32.7u,:,:c,20.0u,:,26.7u,:,:,:,:,:,52.1u,37.5,:,:,:,16.1u
18P5-25,F,Y_GE75,TOTAL,2008,44.6,43,29.7,39.4,35.4,35.4,33.6u,48.7,40.7,31.4,38.4,38.6u,42,35.5,58.4,38.4,30.4,46.3u
18P5-25,M,TOTAL,QU1,2008,52.3,44.8,34.4,38.1,53.7,35.8,34.7,:,43.8,55.5,44.1,28.4,45.5,46.1,42.8,25.9,42.2,51.4
18P5-25,M,TOTAL,QU2,2008,49.3,41.2,27,31.6,50.5,38.1,35.4,:,35.8,41,35.1,26.4,41.3,34.7,39.9,34.8,37.4,45
18P5-25,M,TOTAL,QU3,2008,40.3,39.7,27,36.9,44.7,39,32.6,:,37.3,44.3,33.7,29.7,39.8,34.2,44.5,31.5,39.5,45.4
18P5-25,M,TOTAL,QU4,2008,39.7,40.3,30.6,37.4,42.1,34.6,38.3,:,39,39.6,37.9,31.4,42.7,35.8,43.1u,27.1,41.9,45.7
18P5-25,M,TOTAL,QU5,2008,44.8,39.7,46.4,41.8,41.4,31.1,39.6,:,39.8,37.2u,40,29.1,45.1,36.1,40.0u,33.1,39.1,41.4
18P5-25,M,TOTAL,TOTAL,2008,44.5,41.1,33.9,39.1,44,35.4,36.8,47.8,38.3,42.9,37.7,29.3,42.8,35.8,41.9,32.9,40.4,46.2
18P5-25,M,TOTAL,UNK,2008,46,44.2,31.7,44.6,46.1,35,40.1,47.8,29.6,:,37.5,30.0u,:,33.9,46.7u,37.8,44.2,49.3
18P5-25,M,Y18-44,QU1,2008,57.7,55.2,:,52.5,71.9u,36.3u,48,:,57.9,60.8u,51.5,47.1u,60.4,53.4,51.2,26.1u,60.9,56.7
18P5-25,M,Y18-44,QU2,2008,59.1,46.2,47.1u,39.1,63.1,47.5,45.3,:,41.2,53.5,47.6,32,54.6,45.9,48.4,50.1,48.3,52.5
18P5-25,M,Y18-44,QU3,2008,52.4,42.4,37.8,47.5,54.5,54.1,38.7,:,47.5,54.6,43.9,33.3,51.4,42.6,50.8,38.1,51.1,53.9
18P5-25,M,Y18-44,QU4,2008,52.5,47.1,40,43.4,51.5,42.8,46.9,:,47.9,45.4,43.3,41.6,52.3,45.4,52.3u,36,49.6,52.7
18P5-25,M,Y18-44,QU5,2008,52.9,49.8,54,51.5,47.4,43,48.8,:,51.9,46.8u,52.6,37.1,56,44.8,:,40.9,48.1,49.1
18P5-25,M,Y18-44,TOTAL,2008,55.3,48.6,44.1,49.6,50.7,46.1,45.9,60.2,47.3,52.2,47.8,37.8,54.5,44.7,49.9,42.1,50.5,53.3
18P5-25,M,Y18-44,UNK,2008,59.2,51.1,39.3,56.6,52,46.4,49.6,60.2,33.4u,:,48.4,40.5u,:,42.8,51.1,47.5,53.5,54.1u
18P5-25,M,Y45-54,QU1,2008,42.0u,50.4,:,37.6,54.2u,:,30.9,:,:,59.7u,38.4,19.1u,30.6,43.3,33.5,25.3u,38.6u,40.2
18P5-25,M,Y45-54,QU2,2008,50.9u,41.0u,:,34.7,43.8u,45.4u,27.4,:,32.1,40.7,26.1,21.1u,30.3,28.2,27.1,8.5u,28.4,31.7
18P5-25,M,Y45-54,QU3,2008,44.2,36.4,22.3u,28,45.6,31.3,24.8,:,30.2,31.3,20.8,28.0u,27.4,26,33.1u,20.7u,27.1,29.4
18P5-25,M,Y45-54,QU4,2008,29.5,30.4,6.7u,33.1,35.6,27.6,26.4,:,34.7,27.6,34.3,24.3u,34.8,22.9,:,14.5u,30.6,27.7
18P5-25,M,Y45-54,QU5,2008,36.8,22.5,36.6u,36.4,27.2,14.9u,30.2,:,25.2,:,18.9,25,32,25.6,:,21.7u,26.2,27.2
18P5-25,M,Y45-54,TOTAL,2008,38.7,31.2,26.7,33.4,34.8,28.4,28.4,37.9,30.6,33.9,25.6,24.9,31.6,26.4,30.7,20.5,29.3,31.3
18P5-25,M,Y45-54,UNK,2008,41.7,32.5u,26.0u,32.6,30.9u,27.4,32.1,37.9,:,:,17.5u,27.0u,:,23.4,40.6,28.6u,31.1,:
18P5-25,M,Y55-64,QU1,2008,55.0u,36.8,:,:c,51.1u,:,25.8,:,29.8,50.6u,40.5,16.7u,31.3,43.4,34.8,23.2u,43.0u,40.5u
18P5-25,M,Y55-64,QU2,2008,35.6u,36.9,8.5u,:c,39.9u,13.8u,24.5,:,25.8,34.5,28.7,20.0u,32.4,23.6,24.5,31.1u,26.3,28.7
18P5-25,M,Y55-64,QU3,2008,30.4,27.3,14.3u,23.8,35.5,14.5u,26.5,:,21.7,31.5,25.6,22.2u,23.8,26.1,35.4u,:,20.6,27.3
18P5-25,M,Y55-64,QU4,2008,31.2,30,13.2u,26,29.5,17.8,16.6,:,12.8,25.4u,31.9,25.0u,25.3,22.1,:,:,19.8,42.1
18P5-25,M,Y55-64,QU5,2008,24.5,26.4,34.2u,30.3,31.3,:,22.9,:,26.7,:,24.3,11.1,33.5,23.2,:,26.7u,17.3u,28.3
18P5-25,M,Y55-64,TOTAL,2008,29.4,30.8,18.3,26.4,35.2,20,23.9,35.4,23.4,32.8,29.7,17.8,29.5,26.3,31.3,26.9,23.1,33.5
18P5-25,M,Y55-64,UNK,2008,25.7,:,9.9u,28.8,38.4u,22.7,28.2,35.4,:,:,28.0u,18.2u,:,26.3,45.0u,22.8u,21.6u,:
18P5-25,M,Y65-74,QU1,2008,45.9u,34.5,:,31.3,43,:,21.7,:,33.9,:,34.2,23.5u,31.4,39.5,36.5,:,31.1u,41.7u
18P5-25,M,Y65-74,QU2,2008,39.2u,38.7,:,24.7,37.9u,17.0u,19.2,:,30,24.8,27.2,21.1u,22.9,25.7,29.4,29.4u,30,34.5
18P5-25,M,Y65-74,QU3,2008,27.9,50.6,20.8u,29.3,41.8,17.9u,19,:,17.8u,31.1,19.8,16.7u,28.7,24.5,:,:,24.8,23.6
18P5-25,M,Y65-74,QU4,2008,29.1,37.5u,:,33.2,22.8,25.4u,33.8,:,14.9u,:,22.0u,:,26.5,26,:,:,:,27.1
18P5-25,M,Y65-74,QU5,2008,40.6u,19.3u,:,30.6,31.5,29.3u,37.7,:,26.9u,:,30.3u,:,29.1,20.1,:,:,:,18.2u
18P5-25,M,Y65-74,TOTAL,2008,36.8,36,20.4,29.4,36.8,21.2,24.1,32.9,28.1,28.2,25.9,20.7u,27,24.8,34.7,23.2,28.4,31.5
18P5-25,M,Y65-74,UNK,2008,44,:,:,30.4,35.3u,20.2,28.7,32.9,:,:,:,22.9u,:,17.1,32.3u,24.8u,:,:
18P5-25,M,Y_GE75,QU1,2008,49.8,48.9,:,:c,45.1,:,29,:,46.4,:,44.0u,:,36.3,38.2,44.4,:,24.6u,50.6u
18P5-25,M,Y_GE75,QU2,2008,46.7,42.6u,:,:c,45.9,44.3u,33.9,:,45.8u,37.7,22.9u,42.9u,32.8,30.1,48.4,:,33.4u,43.2
18P5-25,M,Y_GE75,QU3,2008,33.6,50.2u,29.5u,:c,41.3,:,33.2,:,:,22.4,31.5u,:,34.1,33.9,:,:,:,27.7u
18P5-25,M,Y_GE75,QU4,2008,38.3,:,:,:c,35.5,27.5u,35.7,:,:,:,38.6u,:,46,34.3,:,:,:,30.6u
18P5-25,M,Y_GE75,QU5,2008,57.8u,:,:,:c,57.1u,:,31.1u,:,:,:,:,:,48.8u,32.3,:,:,:,:
18P5-25,M,Y_GE75,TOTAL,2008,40.7,47.7,28.7,33.7,43.2,34,31.5,40.6,41.9,30.8,33,32.5u,37.9,33.5,44.6,26.4,33.9,43.6u
18P5-25,M,Y_GE75,UNK,2008,37.9,:,:,:c,42.5u,32.9,27.8,40.6,:,:,:,10.0u,:,36.1,37.9u,:,:,:
18P5-25,T,TOTAL,QU1,2008,51.4,42.6,33.8,39.6,39.6,40.9,36.5,:,42.5,53.1,42,34.7u,46,43.7,47.2,32.2,36,49.2u
18P5-25,T,TOTAL,QU2,2008,50.8,42.6,35.7,39.9,46.6,39.8,41.7,:,42.7,37.4,37.5,30.0u,47.8,40.5,47.5,38.4,44.2,44.7
18P5-25,T,TOTAL,QU3,2008,41.9,43.3,34.7,42.2,42.7,46.3,43,:,45.5,43.8,37.2,35.7,45.1,42,52.8,38.6,47.7,46
18P5-25,T,TOTAL,QU4,2008,43.5,47.7,40.3,47.1,45.4,43.6,48.7,:,47.3,49.9,43.7,40.5,49.2,44.8,55.6,39.5,48.8,46.2
18P5-25,T,TOTAL,QU5,2008,54.8,49.3,50.6,50.1,48.7,45.4,51.7,:,51.9,49.3,46.5,40.8,53.8,46.4,46.6,50.5,49.4,44.6
18P5-25,T,TOTAL,TOTAL,2008,49.7,46.2,40.9,45.7,46.2,41.9,45,53.1,45.8,43.2,41.7,38.0u,48.7,43.6,47.8,41.8,46.7,46.4
18P5-25,T,TOTAL,UNK,2008,51.7,51.9,42.8,50.7,53.2,39.9,48,53.1,47.1,:,47,41.3u,:,43.8,52.7,45.7,52.7,53.6u
18P5-25,T,Y18-44,QU1,2008,60.1,58.6,59.3u,54.9,71.1,49.4,51.6,:,66.2,61.6,56,56.6u,63.7,59.6,57.3,42.8,60.7,56.2u
18P5-25,T,Y18-44,QU2,2008,61.1,55.5,56.9,49.1,65.3,57.2,53.5,:,52.1,54.9,52,39.3u,62.3,54.9,57.4,55.8,60.2,53.4
18P5-25,T,Y18-44,QU3,2008,55.1,52.2,54.6,51.8,59.2,61.7,50.9,:,56,58.3,49.6,39.5,56.2,56,60.6,49,60.1,55.1
18P5-25,T,Y18-44,QU4,2008,55,55.8,49.2,54.1,58,54.6,56.7,:,55.8,58.4,52.5,49.4,59.2,57.1,63.7,49.3,57.8,54.9
18P5-25,T,Y18-44,QU5,2008,59.6,59.8,60.6,58.4,56.2,61.5,59.6,:,63,57.7,59.1,51.1,62.7,57.9,60.4u,58.7,59.5,54.4
18P5-25,T,Y18-44,TOTAL,2008,59.6,57.5,55.2,56.7,58.5,56.4,55.1,62.9,57.1,57.7,54.7,48.2,60.8,56.8,57.8,53.9,60.1,54.9
18P5-25,T,Y18-44,UNK,2008,63.2,58.7,54.6,63.3,62.3,54.7,57.3,62.9,48.9,:,61.1,52.2u,:,56.5,61.4,56.5,64.6,61.7u
18P5-25,T,Y45-54,QU1,2008,51.6,43.9,:,40.9,48.5,51.1u,37.5,:,39.4,62.3,42.9,26.7,36.4,48.5,37.2,28.8u,40.9,33.3u
18P5-25,T,Y45-54,QU2,2008,53.1,48.6,:,41,39.4,42.8,39.5,:,41,37.3,30.4,26.4,42.8,37.7,32.2,23.2,42,28.6u
18P5-25,T,Y45-54,QU3,2008,41.8,36.9,20.3u,34.7,44,36.6,38.3,:,33.9,33,25.7,34.1u,40.1,35.3,39,28.7,39.8,26.6
18P5-25,T,Y45-54,QU4,2008,38.6,38,18.8,42.9,37.2,33,40,:,42.8,34.7,42.5,30.7,42.2,34.1,34.7u,25.2,37.1,26.5
18P5-25,T,Y45-54,QU5,2008,52.5,39.6,35.6,47.2,37.4,23.4,45.6,:,41.3,:,30.1,33.3,46.3,35.7,:,43,35,28.9
18P5-25,T,Y45-54,TOTAL,2008,47.7,40.1,30.3,42.9,39.6,34.8,41.1,49,39.6,35.8,33.6,32.0u,42.5,36,34.9,33.1,38.5,28.8
18P5-25,T,Y45-54,UNK,2008,48.8,40.5,32.1,46.5,39.6,35.4,43.9,49,44.9u,:,30.2,34.3u,:,33.1,34.8,42,36.2,53.4u
18P5-25,T,Y55-64,QU1,2008,48.7,35.8,18.9u,29.4,31.3,32.0u,28.3,:,30.2,38.3u,36.1,30.5u,34.4,36.8,35.7,20.6,35.8,35.8u
18P5-25,T,Y55-64,QU2,2008,35.2,31.3,21.8,33.2,33.9,16,29.6,:,27.8,28.5,24.8,27.6u,33.1,28.2,29.9,28.7,30.2,25.6
18P5-25,T,Y55-64,QU3,2008,32.9,31.5,25.1,32.2,31,21.9,30.5,:,28.5,23.8,26.4,25,29.8,28.5,43.6,25.3u,27.2,24.3
18P5-25,T,Y55-64,QU4,2008,36.5,36.8,22.8,34.5,25.3,25.6,29,:,21.9,21.1,28.2,34,32,25.7,:,34.7u,20.5,33.4
18P5-25,T,Y55-64,QU5,2008,36.2,27,33.9u,38.2,32.6,33.8,36.2,:,38.5,:,26.1,17.2,37.7,27.1,:,33.3u,17.6,27.4
18P5-25,T,Y55-64,TOTAL,2008,36.8,32.8,23.2,34.4,30.9,25,32.1,41.9,29.6,26,28.4,27.7u,33.4,29.1,34.3,28.9,26.8,29.3
18P5-25,T,Y55-64,UNK,2008,36.8,48.6u,15,37.2,35.4u,25.5,37.6,41.9,36.6u,:,24.6,31.2u,:,30.4,43.6u,31.3,23.5,:
18P5-25,T,Y65-74,QU1,2008,38.5,32.3,21.2,30.9,29.5,27.6,22.9,:,28.6,:,25.8,21.6u,27.9,30.2,39.1,22.8,24.5,35.1u
18P5-25,T,Y65-74,QU2,2008,46.8,35.5,20.4u,34,29.4,15.6,22.1,:,29.9,23.1,23,19.4u,32.2,26.9,35.7,32.2,26.5,29.4u
18P5-25,T,Y65-74,QU3,2008,28.1,42.7,20.7,30.2,32,24.8,25.5,:,25.5,24.7,26.2,29.4u,33.5,26.3,37.7u,26.1u,25.9,22.5u
18P5-25,T,Y65-74,QU4,2008,27.6,35.5,:,37.6,29.4,27.3,38.5,:,24.2u,25.7u,22.8,11.8u,32.2,29.7,:,:,21.1u,25.2
18P5-25,T,Y65-74,QU5,2008,45.6,22,:,36.6,30.8,28.1u,40.5,:,23.4u,:,35.1u,40.0u,33,25.1,:,:,:,17.4
18P5-25,T,Y65-74,TOTAL,2008,38.4,33.1,22.6,33.9,30.7,22.1,27.1,40.6,28.5,23.8,26.1,26.4u,31.5,26.9,38.4,26.4,25.7,28.0u
