bmi,sex,age,quantile,time\geo,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
GE30,T,Y55-64,QU2,2008,28.7,15.8,29.5,26.2,19.7,33.1,27.5,:,25.3,29.6,34.5,32.9u,23,28.4,13.7,32.8,29.3,26.3
GE30,T,Y55-64,QU3,2008,28.8,20.6,30.5,24.2,33.4,22.3,23.3,:,19.9,27.9,21.6,20.3,21.4,27,3.9,18.4u,24.6,30.4
GE30,T,Y55-64,QU4,2008,21.2,16.4,35.2,21.1,39.4,35.8,22.6,:,23.3,35,27.4,30,20.7,25.8,:,17.3u,25.8,28.8
GE30,T,Y55-64,QU5,2008,16.9,17.7,16.8u,15.5,27,21,13.3,:,18.1,:,18.5,24.1,15.9,28.1,:,24.6u,26.9,24.8
GE30,T,Y55-64,TOTAL,2008,21.7,17.7,29.5,22.3,31.3,26.9,22.5,16.8,23.3,28.9,26.5,30.1u,21.4,26.4,12.6,27.3,27,27.2
GE30,T,Y55-64,UNK,2008,20.1,3.8u,34.1,18.1,21.2u,24.9,18,16.8,15.7u,:,36.5,32.4u,:,24.9,13.2u,25.2,20.3,:
GE30,T,Y65-74,QU1,2008,15.2,19.4,38,27.7,28.7,30,30.8,:,27.3,:,30.4,41.2u,22.3,25.9,10,27.8,36,26.7u
GE30,T,Y65-74,QU2,2008,15.9,15,35.6u,18.3,23.8,36.8,28,:,23.8,30.1,30.9,29.9u,21.8,28.8,13.3,23,24.3,21.1u
GE30,T,Y65-74,QU3,2008,26.5,11.7,31.1,25.4,27.1,27.8,24.7,:,23.3,31.5,22.2,38.2u,17.5,26.6,6.9u,28.3u,32.8,28.5u
GE30,T,Y65-74,QU4,2008,17.7,10.2,:,:c,29.7,23.2,18.3,:,20.5u,15.0u,34.2,29.4u,19.5,24.5,:,:,38.2u,28
GE30,T,Y65-74,QU5,2008,14.7,21.6,:,:c,35.6,15.4u,12.6,:,20.3u,:,31.8u,16.7u,9.2,26,:,:,:,46.8
GE30,T,Y65-74,TOTAL,2008,16.8,17.2,31.5,20.1,28.7,29.4,25.4,18.5,24.8,29.6,29.2,31.5u,19.4,26.3,10.7,24.2,30.1,27.4u
GE30,T,Y65-74,UNK,2008,11.1,:,31.9u,17.5,25.9u,30.5,21.7,18.5,:,:,34.3u,29.7u,:,25.2,7.4u,30,14.4u,:
GE30,T,Y_GE75,QU1,2008,17,12,21.6,:c,18.9,23.2,24.7u,:,19,:,19.2,25.8u,13.6,18.3,7.3,20.2,20.5,14.9u
GE30,T,Y_GE75,QU2,2008,15.5,7.7,20.2u,23,25.3,14.9,21,:,19.9,25.5,23,32.6u,13.2,21.6,5.9,10.7u,18.1,13.5u
GE30,T,Y_GE75,QU3,2008,14.9,12.5,20.6u,:c,17.2,11.1,15.9,:,28.6u,20.9,23.6,26.3u,17.6,20,6.0u,:,18.3u,15.3u
GE30,T,Y_GE75,QU4,2008,14,17.6u,:,:c,26.2,10.5u,21.3,:,:,:,19.8u,:,9,16.1,:,:,:,16.1u
GE30,T,Y_GE75,QU5,2008,2.9,11.8u,:,:c,24.7,:,13.8u,:,:,:,40.0u,:,11.7,23.2,:,:,:,23.1u
GE30,T,Y_GE75,TOTAL,2008,14.6,11.9,19.3,18.1,20.3,17.4,20.9,14.8,20.5,23.9,22.5,25.6u,13.2,19.6,7.4,15.8,20,15.4u
GE30,T,Y_GE75,UNK,2008,13.9,:,20.7u,19.9,19,18.1,16.5u,14.8,:,:,26.8u,23.5u,:,19.3,18.8u,20.4u,:,:
LT18P5,F,TOTAL,QU1,2008,3.9,1.9,1.6,3.8,1.1,3.4,2.7,:,3.1,3.8,4.3,2.1u,2.8,3.3,2.5,2.5,1.6,3.9u
LT18P5,F,TOTAL,QU2,2008,3.9,3.7,2.3,3.2,4.2,5.8,2.2,:,5.1,2.7,4.9,4.0u,3,3.4,3.9,1.9,3.3,5.1u
LT18P5,F,TOTAL,QU3,2008,3.6,4.2,2.3,:c,3.6,1.9,2.6,:,5.2,3.3,5.4,4.2,2.4,2.7,4.1,0.4,4.2,3.6
LT18P5,F,TOTAL,QU4,2008,2.6,4.9,9.8,3,3.2,3.3,4.2,:,5.3,2.6,5.6,2.8,3.7,3.8,:,3.6,6.2,5.2
LT18P5,F,TOTAL,QU5,2008,5.2,6.9,5.6,3.2,6.8,4.1,5,:,5.9,3.9u,4.5,2.9,3.8,4,2.4u,2.5,6.7,5.3
LT18P5,F,TOTAL,TOTAL,2008,4.1,5,4.3,3.4,4.3,3.2,3.5,5.2,5.1,3,4.9,3.2u,3.2,3.8,3.1,2.5,4.5,4.6u
LT18P5,F,TOTAL,UNK,2008,4.2,13.8,2.9,4,5.5,2.8,4.7,5.2,11.8,:,4.7,3.2u,:,4.8,3.7,3.3,6.6,12.5u
LT18P5,F,Y18-44,QU1,2008,5.6,7,:,7.4,2.0u,9.8,6.5,:,6.7,4.0u,8.8,2.8u,5.3,7.7,4.9,7.3u,8.9,5.5u
LT18P5,F,Y18-44,QU2,2008,6.3,11.3,6.3u,:c,10.6,10.7,4,:,7.7,5.6,11.1,9.7u,4.9,7,5.8,5.3,7.7,7.3
LT18P5,F,Y18-44,QU3,2008,6.4,7.8,5.8,:c,7.2,3,4.1,:,8,6.3,9.9,6.1,4.4,4.9,6.9,:,7.4,4.6
LT18P5,F,Y18-44,QU4,2008,2.8,8.1,13.7,:c,5.4,5.5,6.1,:,8.1,3.5,10,2.4,5.4,6.1,:,5.8,8.7,7.1
LT18P5,F,Y18-44,QU5,2008,7.9,11,7.5,:c,10.1,6.9,8.3,:,9,5.9u,6.4,4.4,5.2,6.9,:,4.1,9.2,7.8
LT18P5,F,Y18-44,TOTAL,2008,5.8,10.3,8.1,5.3,8.3,5.8,6.1,7.6,8.5,5.4,8.9,5.5,5.1,6.7,5.4,4.5,8.3,6.4
LT18P5,F,Y18-44,UNK,2008,5,20.1,5.2,6.5,8.1,5.4,8.6,7.6,23.2u,:,7.2,6.1u,:,7.9,6,5.5,8.6,18.0u
LT18P5,F,Y45-54,QU1,2008,5.6u,:,:,:c,:,:,0.8,:,4.5,:,4.4,:,3.6,1.6,1.6,:,:,0.4u
LT18P5,F,Y45-54,QU2,2008,4.5u,2.9u,:,:c,:,7.6u,0.5,:,4.6,2.7,2.8,:,1.4,2.1,0.8,:,1.2,0.3u
LT18P5,F,Y45-54,QU3,2008,3.4,3.2,:,:c,:,2,1.3,:,0.7,0.3,1.3,:,1.1,1.7,:,:,:,1.2
LT18P5,F,Y45-54,QU4,2008,3.6,0.8,4.3u,:c,1.6,1.1,2.1,:,1.6,:,1.2,4.0u,1.5,1.8,:,:,1.5,:
LT18P5,F,Y45-54,QU5,2008,0.6,1.2,:,:c,1.2,:,0.5,:,2.3,:,3.2,:,2.5,0.3,:,:,1.8,0.6
LT18P5,F,Y45-54,TOTAL,2008,3.3,1.5,0.8,2.6,1,1.7,1.1,3.4,2.3,0.9,2.3,0.7u,2,1.7,1.1,0.4,1.5,0.5u
LT18P5,F,Y45-54,UNK,2008,4.9,3.1u,:,:c,3.0u,1.5,1.4,3.4,:,:,:,0.9u,:,2.3,:,1.8u,6.9u,:
LT18P5,F,Y55-64,QU1,2008,3.9,0.7,:,:c,:,:,1.3,:,1.5,6.6u,3.2,2.9u,0.4,3.2,0.2,:,:,0.5u
LT18P5,F,Y55-64,QU2,2008,1.6,:,:,:c,:,2.2,0.8,:,1.7,2.5,:,:,2.2,0.5,1.1,:,:,0.5u
LT18P5,F,Y55-64,QU3,2008,1.8,1.1,:,:c,2.5,:,:,:,1,:,3.5,5.4u,0.6,0.3,:,:,1.9,0.7u
LT18P5,F,Y55-64,QU4,2008,0.2,2.7,:,:c,:,:,0.6,:,:,2.2u,:,3.9u,1.8,1.5,:,:,:,3
LT18P5,F,Y55-64,QU5,2008,0.6,0.9,:,:c,:,1.6u,:,:,:,:,1.9,3.0u,1.7,0.5,:,:,:,:
LT18P5,F,Y55-64,TOTAL,2008,1.4,1,:,:c,0.6,0.5,0.6,1.9,1,1.4,1.9,1.9u,1.4,1.2,0.5,0.7,0.5,0.9u
LT18P5,F,Y55-64,UNK,2008,1.8,:,:,:c,:,0.3,0.8,1.9,:,:,:,:,:,1.4,:,2.6u,:,:
LT18P5,F,Y65-74,QU1,2008,:,0.8,:,:c,1.2,:,0.8,:,:,:,1.7,:,0.5,2.1,0.9,:,0.7,3.5u
LT18P5,F,Y65-74,QU2,2008,1.2,:,:,:c,:,:,0.6,:,0.9,1.2,:,:,1.1,1.2,1.1,:,:,:
LT18P5,F,Y65-74,QU3,2008,2.2,2,:,:c,0.7,:,0.5,:,:,:,2.8,:,0.5,0.5,:,:,:,3.1u
LT18P5,F,Y65-74,QU4,2008,1.5,:,:,:c,1.2,:,:,:,:,:,5.6u,:,0.3,:,:,:,:,3.1
LT18P5,F,Y65-74,QU5,2008,:,:,:,:c,4.1,:,1.0u,:,:,:,:,:,:,0.4,:,:,:,2.9u
LT18P5,F,Y65-74,TOTAL,2008,1.6,0.7,1.5,:c,1.4,0.8,0.6,2.2,0.3,0.9,1.7,0.7u,0.6,1.2,0.9,:,0.3,2.5u
LT18P5,F,Y65-74,UNK,2008,2.7,:,:,:c,4.3u,1.3,0.6,2.2,:,:,:,2.6u,:,1.5,:,:,:,:
LT18P5,F,Y_GE75,QU1,2008,4,1.7,:,:c,1.5,:,1.1u,:,3.9,:,2.9,:,1.7,1.6,1.5,4.4u,:,0.6u
LT18P5,F,Y_GE75,QU2,2008,4.4,:,:,:c,3.6,:,1.5,:,2.6u,1,2.2,4.6u,1.7,1.5,4.1,:,1.1u,4.8u
LT18P5,F,Y_GE75,QU3,2008,2.2,:,:,:c,4.5,:,0.7,:,:,1.5,:,:,0.3,2.2,:,:,:,2.8u
LT18P5,F,Y_GE75,QU4,2008,6.3,:,:,:c,:,:,:,:,:,:,:,:,4,:,:,:,:,:
LT18P5,F,Y_GE75,QU5,2008,1.3u,:,:,:c,:,:,:,:,:,:,:,:,:,1.4,:,:,:,9.2u
LT18P5,F,Y_GE75,TOTAL,2008,4.5,1.3,:,:c,1.9,0.9,1.4u,5.5,3.4,1.1,2.2,3.6u,1.8,1.5,1.7,2.4,0.4,2.8u
LT18P5,F,Y_GE75,UNK,2008,6,:,:,:c,:,1.4,3.3u,5.5,:,:,:,:,:,2,:,:,:,:
LT18P5,M,TOTAL,QU1,2008,1.8,1,2.1,:c,1.4,3,0.8,:,0.6,0.7,1.4,:,0.8,1.6,0.7,2.2,1,2.2
LT18P5,M,TOTAL,QU2,2008,1.9,0.4,:,:c,0.2,0.3,0.4,:,0.4,1.4,1.2,1.1,1,0.4,0.3,0.8,0.3,1.5
LT18P5,M,TOTAL,QU3,2008,1.7,0.6,:,:c,1.2,:,0.4,:,0.6,0.4,1.7,0.9,1,1,1.4,0.7,1,1.2
LT18P5,M,TOTAL,QU4,2008,1.8,1,0.5,:c,1.5,0.2,0.4,:,0.2,0.2,3.1,2,0.4,0.8,:,0.6,:,2.2
LT18P5,M,TOTAL,QU5,2008,0.8,0.8,0.9,:c,1,:,0.9,:,0.3,:,0.5,1.5,0.7,0.4,:,:,0.9,1.2
LT18P5,M,TOTAL,TOTAL,2008,1.4,0.9,0.6,0.8,1.2,0.3,0.6,1.2,0.5,0.6,1.6,1.3,0.8,0.7,0.6,0.7,0.6,1.7
LT18P5,M,TOTAL,UNK,2008,1.4,2.8,0.7,:c,1.8,0.4,0.9,1.2,5,:,1.9,1.7u,:,0.5,0.2u,0.9,1.1,7.2
LT18P5,M,Y18-44,QU1,2008,3,2.7,:,:c,:,5.6u,0.8,:,0.7,:,1.1,:,0.3,2.1,0.6,:,:,2.2
LT18P5,M,Y18-44,QU2,2008,3,:,:,:c,:,:,0.5,:,:,1.5,2.4,2,0.9,0.5,0.4,1.9,:,2
LT18P5,M,Y18-44,QU3,2008,2.7,0.7,:,:c,3,:,0.6,:,0.8,0.5,1.9,0.9,1.9,1.6,1.2,1.4,1.8,1.4
LT18P5,M,Y18-44,QU4,2008,2.7,1.3,0.8,:c,2.7,0.4,0.4,:,0.3,0.3,6.1,3.9,0.5,1.2,:,1.1,:,2.2
LT18P5,M,Y18-44,QU5,2008,1.3,1.1,0.7,:c,1.2,:,1.7,:,0.7,:,0.4,2.9,0.9,0.4,:,:,1.4,1.4
LT18P5,M,Y18-44,TOTAL,2008,2.2,1.4,0.6,1.4,1.7,0.6,0.9,1.8,0.7,0.6,2.3,2.3,0.9,0.9,0.5,0.9,0.8,1.9
LT18P5,M,Y18-44,UNK,2008,2.3,4.6,0.6,:c,2.5,0.8,1.4,1.8,9.2u,:,3,2.4u,:,0.6,0.4,0.9,1,7.6u
LT18P5,M,Y45-54,QU1,2008,0.9u,:,:,:c,2.1u,:,0.3,:,:,:,3.1,:,0.7,0.4,0.5,2.5u,:,0.6
LT18P5,M,Y45-54,QU2,2008,:,2.7u,:,:c,:,2.0u,0.2,:,:,2.1,:,:,:,0.1,0.1,:,1.6,1
LT18P5,M,Y45-54,QU3,2008,3.5,:,:,:c,:,:,0.2,:,0.6,:,:,:,:,0.1,3.8u,:,:,0.6
LT18P5,M,Y45-54,QU4,2008,1,1.3,:,:c,:,:,:,:,:,:,:,:,0.1,:,:,:,:,1
LT18P5,M,Y45-54,QU5,2008,:,0.6,1.9u,:c,1.3,:,:,:,:,:,1.3,:,0.3,:,:,:,:,0.4
LT18P5,M,Y45-54,TOTAL,2008,0.5,0.7,1.3,:c,0.8,0.2,0.1,0.9,0.2,0.5,0.8,:,0.2,0.2,0.4,0.3,0.5,0.7
LT18P5,M,Y45-54,UNK,2008,:,:,:,:c,:,:,0.1,0.9,:,:,:,:,:,0.4,:,:,2.3,:
LT18P5,M,Y55-64,QU1,2008,1.9u,:,:,:c,:,:,1.6,:,:,3.4u,1,:,0.7,1.7,0.8,7.4u,3.2u,2.9u
LT18P5,M,Y55-64,QU2,2008,3.5u,:,:,:c,:,:,:,:,:,0.6,1.4,:,0.8,0.7,0.2,:,:,0.6
LT18P5,M,Y55-64,QU3,2008,:,:,:,:c,:,:,0.3,:,:,:,:,:,:,0.3,:,:,:,1.1
LT18P5,M,Y55-64,QU4,2008,:,:,:,:c,:,:,:,:,:,:,:,:,0.7,0.7,:,:,:,2.6
LT18P5,M,Y55-64,QU5,2008,:,:,:,:c,:,:,:,:,:,:,:,:,:,:,:,:,:,0.8
LT18P5,M,Y55-64,TOTAL,2008,0.6,:,:,:c,:,:,0.2,0.3,:,0.4,0.4,0.8,0.4,0.5,0.6,1,0.3,1.6
LT18P5,M,Y55-64,UNK,2008,0.7,:,:,:c,:,:,:,0.3,:,:,:,2.6u,:,0.2,:,:,:,:
LT18P5,M,Y65-74,QU1,2008,1.2u,:,:,:c,2.3,:,0.6,:,:,:,:,:,1.1,1.8,0.6,:,:,3.1u
LT18P5,M,Y65-74,QU2,2008,1.1u,:,:,:c,1.9u,:,0.6,:,1.9,2,:,2.6u,0.7,:,0.4,:,:,0.9
LT18P5,M,Y65-74,QU3,2008,:,:,:,:c,0.3,:,:,:,:,:,:,5.6u,0.4,0.2,:,:,:,:
LT18P5,M,Y65-74,QU4,2008,1.1,:,:,:c,:,:,:,:,:,:,:,:,:,0.4,:,:,:,1.9
LT18P5,M,Y65-74,QU5,2008,0.4u,:,:,:c,:,:,:,:,:,:,:,:,:,:,:,:,:,:
LT18P5,M,Y65-74,TOTAL,2008,1.1,:,0.7,:c,0.6,0.2,0.3,0.8,0.6,1,0.3,1.5u,0.5,0.3,0.5,:,:,1.4
LT18P5,M,Y65-74,UNK,2008,1.9,:,:,:c,:,0.4,:,0.8,:,:,:,:,:,:,:,:,:,:
LT18P5,M,Y_GE75,QU1,2008,:,1.7,:,:c,3.1,:,0.8,:,1.4,:,2.3u,:,2.7,2.1,1.9,:,2.9u,4.3u
LT18P5,M,Y_GE75,QU2,2008,0.9,:,:,:c,:,:,0.1,:,2.2u,:,:,:,3.7,0.9,1.9,:,:,:
LT18P5,M,Y_GE75,QU3,2008,1.2,3.7u,:,:c,2.2,:,:,:,:,1.3,10.3u,:,0.3,1.8,:,:,:,:
LT18P5,M,Y_GE75,QU4,2008,3.9,:,:,:c,:,:,3.5,:,:,:,:,:,:,0.2,:,:,:,13.0u
LT18P5,M,Y_GE75,QU5,2008,4.2u,:,:,:c,:,:,:,:,:,:,:,:,6.6u,5.9,:,:,:,:
LT18P5,M,Y_GE75,TOTAL,2008,1.8,1.4,:,:c,1.9,:,1.1,0.9,1.3,0.5,2.9,:,2.3,1.6,1.8,1.8,0.8,4.1u
LT18P5,M,Y_GE75,UNK,2008,1.4,:,:,:c,5.4u,:,3.3,0.9,:,:,:,:,:,1.4,:,:,:,:
LT18P5,T,TOTAL,QU1,2008,3,1.6,1.8,3,1.2,3.3,1.9,:,2.2,2.2,3.2,1.3u,2.1,2.7,1.7,2.4,1.4,3.0u
LT18P5,T,TOTAL,QU2,2008,3.1,2.1,1.4,1.9,2.7,3.3,1.3,:,2.7,2.2,3.2,2.6u,2.1,2.1,2.2,1.3,2,3.2
LT18P5,T,TOTAL,QU3,2008,2.7,2.4,1.2,1.5,2.6,1,1.5,:,2.9,1.9,3.5,2.4,1.7,1.9,2.9,0.6,2.6,2.3
LT18P5,T,TOTAL,QU4,2008,2.2,3,4.9,1.6,2.4,1.7,2.1,:,2.7,1.5,4.4,2.4,2,2.4,:,2.1,2.9,3.6
LT18P5,T,TOTAL,QU5,2008,3,3.9,3,1.7,3.7,2,2.9,:,3.1,1.8,2.5,2.2,2.1,2.2,1.1,1.2,3.5,3.1
LT18P5,T,TOTAL,TOTAL,2008,2.8,3.1,2.5,2.1,2.9,1.8,2,3.3,2.9,1.9,3.3,2.3u,2,2.4,1.9,1.6,2.6,3.1
LT18P5,T,TOTAL,UNK,2008,2.9,8.4,1.8,2.7,3.6,1.6,2.8,3.3,8.9,:,3.3,2.5u,:,2.9,2.2,2.1,3.8,9.7u
LT18P5,T,Y18-44,QU1,2008,4.3,4.8,5.9u,5.2,1.1,8,3.8,:,4.2,1.7,4.9,1.9u,3.1,5,2.9,3.4,4.7,3.8u
LT18P5,T,Y18-44,QU2,2008,4.8,6.1,3.9,:c,6.2,5.8,2.2,:,4,3.7,6.9,6.6u,2.9,3.9,3.2,3.5,4.1,4.5
LT18P5,T,Y18-44,QU3,2008,4.5,4,3.1,:c,5.8,1.7,2.3,:,4.6,3.3,5.5,3.3,3.1,3.3,4.3,0.7,4.6,2.9
LT18P5,T,Y18-44,QU4,2008,2.7,4.8,7.3,:c,4.1,2.9,3,:,4.2,2,8.2,3.1,3,3.8,:,3.7,4.1,4.5
LT18P5,T,Y18-44,QU5,2008,4.8,6,3.9,2.6,5.3,3.5,4.9,:,4.9,2.5,3.4,3.6,2.9,3.7,1.8u,1.9,5,4.4
LT18P5,T,Y18-44,TOTAL,2008,4.1,5.8,4.4,3.3,5,3.2,3.4,4.8,4.7,3,5.5,4,3,4,3.1,2.6,4.5,4
LT18P5,T,Y18-44,UNK,2008,3.7,12.6,2.7,4.2,5,3,4.8,4.8,17,:,5.1,4.4u,:,4.5,3.6,3,4.7,12.6u
LT18P5,T,Y45-54,QU1,2008,3.4,:,:,:c,1.1,:,0.6,:,3.3,:,3.8,:,2.4,1,1.1,1.5u,:,0.5u
LT18P5,T,Y45-54,QU2,2008,1.9,2.8,:,:c,:,4.7,0.4,:,2.2,2.4,1.4,:,0.7,1.3,0.5,:,1.4,0.7u
LT18P5,T,Y45-54,QU3,2008,3.4,1.6,:,:c,:,0.9,0.8,:,0.7,0.2,0.6,:,0.6,1,1.5,:,:,0.8
LT18P5,T,Y45-54,QU4,2008,2.3,1.1,2.1,:c,0.9,0.6,1,:,0.8,:,0.7,1.6,0.8,1,:,:,0.7,0.5
LT18P5,T,Y45-54,QU5,2008,0.3,0.9,1.1,:c,1.2,:,0.3,:,1.2,:,2.2,:,1.2,0.2,:,:,0.8,0.5
LT18P5,T,Y45-54,TOTAL,2008,1.9,1.1,1.1,1.4,0.9,0.9,0.6,2.2,1.3,0.7,1.6,0.4u,1.1,1,0.8,0.4,1,0.6
LT18P5,T,Y45-54,UNK,2008,2.5,1.5,:,:c,1.6,0.8,0.7,2.2,:,:,:,0.6u,:,1.5,:,0.9,4.5,:
LT18P5,T,Y55-64,QU1,2008,2.9,0.5,:,:c,:,:,1.4,:,1,4.8u,2.5,1.7u,0.5,2.7,0.5,3.2,0.9,1.7u
LT18P5,T,Y55-64,QU2,2008,2.4,:,:,:c,:,1.3,0.4,:,0.9,1.8,0.6,:,1.6,0.6,0.7,:,:,0.5
LT18P5,T,Y55-64,QU3,2008,1,0.6,:,:c,1.7,:,0.2,:,0.5,:,1.9,3.1,0.3,0.3,:,:,1,0.9
LT18P5,T,Y55-64,QU4,2008,0.1,1.3,:,:c,:,:,0.2,:,:,0.9,:,2,1.2,1.1,:,:,:,2.8
LT18P5,T,Y55-64,QU5,2008,0.3,0.4,:,:c,:,0.9,:,:,:,:,1,1.2,0.7,0.3,:,:,:,0.4
LT18P5,T,Y55-64,TOTAL,2008,1,0.5,:,:c,0.4,0.3,0.4,1.1,0.5,1,1.2,1.4u,0.9,0.9,0.5,0.9,0.4,1.3
LT18P5,T,Y55-64,UNK,2008,1.3,:,:,:c,:,0.2,0.4,1.1,:,:,:,1.2u,:,0.9,:,1.6,:,:
LT18P5,T,Y65-74,QU1,2008,0.4,0.5,:,:c,1.4,:,0.7,:,:,:,1.2,:,0.6,2.1,0.8,:,0.6,3.4u
LT18P5,T,Y65-74,QU2,2008,1.1,:,:,:c,0.6,:,0.6,:,1.4,1.4,:,1.5u,0.9,0.7,0.8,:,:,0.5u
LT18P5,T,Y65-74,QU3,2008,1.1,1,:,:c,0.5,:,0.2,:,:,:,1.6,2.9u,0.5,0.3,:,:,:,1.5u
LT18P5,T,Y65-74,QU4,2008,1.3,:,:,:c,0.6,:,:,:,:,:,3.2,:,0.2,0.2,:,:,:,2.5
LT18P5,T,Y65-74,QU5,2008,0.2,:,:,:c,2,:,0.4,:,:,:,:,:,:,0.2,:,:,:,1.3
LT18P5,T,Y65-74,TOTAL,2008,1.3,0.4,1.2,:c,1.1,0.5,0.5,1.6,0.4,1,1.1,1.1u,0.5,0.8,0.7,:,0.2,1.9u
LT18P5,T,Y65-74,UNK,2008,2.3,:,2.8u,:c,2.6u,0.9,0.3,1.6,:,:,2.0u,1.4u,:,0.8,:,:,:,:
LT18P5,T,Y_GE75,QU1,2008,2.9,1.7,:,:c,1.7,:,1.0u,:,2.9,:,2.8,3.2u,1.9,1.6,1.6,3.6,0.6,2.4u
LT18P5,T,Y_GE75,QU2,2008,3.2,:,:,:c,2.3,:,0.8,:,2.4,0.8,1.2,2.3u,2.4,1.3,3,:,0.7,2.5u
LT18P5,T,Y_GE75,QU3,2008,1.7,1.8,:,:c,3.3,:,0.4,:,0.1u,1.4,4.6,:,0.3,2,:,:,:,1.6u
LT18P5,T,Y_GE75,QU4,2008,5,:,:,:c,:,:,1.9,:,:,:,:,:,1.9,0.1,:,:,:,5.8u
LT18P5,T,Y_GE75,QU5,2008,2.9,:,:,:c,:,:,:,:,:,:,:,:,3.4,3,:,:,:,8.1u
LT18P5,T,Y_GE75,TOTAL,2008,3.4,1.3,:,:c,1.9,0.5,1.3,3.7,2.5,0.9,2.4,1.9u,1.9,1.6,1.7,2.2,0.5,3.4u
LT18P5,T,Y_GE75,UNK,2008,4.5,:,:,:c,1.6,0.8,3.3u,3.7,:,:,6.2u,2.0u,:,1.9,:,2.8u,:,: